Location,Population,Income,municipality,latitude,longitude,east_west,municipality_profile
Leonard,2452,48614,Leonard,33.3795549,-96.2474785,east,https://directory.tml.org/profile/city/1043
Liberty,8227,53734,Liberty,30.057993,-94.7954783,east,https://directory.tml.org/profile/city/1049
Linden,1791,39868,Linden,33.0123537,-94.3654707,east,https://directory.tml.org/profile/city/1051
Littlefield,5991,45101,,,,,https://directory.tml.org/profile/city/1055
Liverpool,531,46250,Liverpool,29.2949612,-95.2788231,east,https://directory.tml.org/profile/city/1057
Llano,3301,48519,,,,,https://directory.tml.org/profile/city/1059
Log Cabin,910,48875,Log Cabin,32.2223716,-96.0219132,east,https://directory.tml.org/profile/city/583
Lometa,672,36776,,,,,https://directory.tml.org/profile/city/844
Lone Oak,591,54844,Lone Oak,32.9968197,-95.9401641,east,https://directory.tml.org/profile/city/427
Lone Star,1798,39961,Lone Star,32.9440186,-94.7071506,east,https://directory.tml.org/profile/city/425
Lorenzo,1020,33008,,,,,https://directory.tml.org/profile/city/624
Los Fresnos,8023,36784,Los Fresnos,26.0717438,-97.4763733,east,https://directory.tml.org/profile/city/848
Los Ybanez,12,-666666666,,,,,https://directory.tml.org/profile/city/1955
Lott,842,40792,Lott,31.203512,-97.0366591,east,https://directory.tml.org/profile/city/1174
Lovelady,613,50214,Lovelady,31.1268207,-95.44555,east,https://directory.tml.org/profile/city/850
Lueders,266,29000,,,,,https://directory.tml.org/profile/city/852
Luling,5411,54172,Luling,29.6805066,-97.647498,east,https://directory.tml.org/profile/city/854
Lyford,2494,39896,Lyford,26.4122916,-97.7897176,east,https://directory.tml.org/profile/city/855
McCamey,1718,46250,,,,,https://directory.tml.org/profile/city/875
McGregor,5345,53663,McGregor,31.4440557,-97.4091792,east,https://directory.tml.org/profile/city/876
Malakoff,2479,40208,Malakoff,32.1695965,-96.0124678,east,https://directory.tml.org/profile/city/860
Marble Falls,6892,48239,Marble Falls,30.5782297,-98.2729184,east,https://directory.tml.org/profile/city/865
Marfa,1838,39604,,,,,https://directory.tml.org/profile/city/866
Marion,1084,54769,Marion,29.5709655,-98.1420491,east,https://directory.tml.org/profile/city/867
Marlin,5512,28061,Marlin,31.3062874,-96.8980439,east,https://directory.tml.org/profile/city/868
Mart,2144,49904,Mart,31.5423911,-96.8336015,east,https://directory.tml.org/profile/city/419
Mathis,4413,31023,Mathis,28.0944558,-97.8280543,east,https://directory.tml.org/profile/city/872
Maud,1124,47734,Maud,33.3329014,-94.3426964,east,https://directory.tml.org/profile/city/873
Memphis,2208,41685,,,,,https://directory.tml.org/profile/city/881
Menard,1336,38563,,,,,https://directory.tml.org/profile/city/882
Mexia,6946,34541,Mexia,31.6798895,-96.482203,east,https://directory.tml.org/profile/city/888
Midway,270,54375,Midway,31.0260203,-95.7505033,east,https://directory.tml.org/profile/city/594
Mineola,4829,42153,Mineola,32.6631884,-95.4882896,east,https://directory.tml.org/profile/city/893
Mingus,302,36058,,,,,https://directory.tml.org/profile/city/1982
Mobile City,279,40272,Mobile City,32.9226225,-96.4110959,east,https://directory.tml.org/profile/city/1652
Moody,1385,47500,Moody,31.3082273,-97.3613977,east,https://directory.tml.org/profile/city/900
Moore Station,144,46528,Moore Station,32.181821,-95.5669032,east,https://directory.tml.org/profile/city/1987
Moran,164,30833,,,,,https://directory.tml.org/profile/city/901
Morgan,439,40313,Morgan,32.0187622,-97.6083551,east,https://directory.tml.org/profile/city/902
Morton,1579,35357,,,,,https://directory.tml.org/profile/city/905
Mount Calm,419,41793,Mount Calm,31.7562739,-96.8791613,east,https://directory.tml.org/profile/city/907
Mount Enterprise,351,50375,Mount Enterprise,31.9179473,-94.6810439,east,https://directory.tml.org/profile/city/1989
Munday,1260,54595,,,,,https://directory.tml.org/profile/city/912
Murchison,426,53750,Murchison,32.2784819,-95.7496858,east,https://directory.tml.org/profile/city/913
Naples,1639,41765,Naples,33.2031774,-94.6802055,east,https://directory.tml.org/profile/city/916
Nash,3714,42697,Nash,33.4423462,-94.130747,east,https://directory.tml.org/profile/city/917
Navasota,7614,43409,Navasota,30.3879845,-96.0877349,east,https://directory.tml.org/profile/city/920
Newark,1100,45313,,,,,https://directory.tml.org/profile/city/923
New Boston,4631,53065,New Boston,33.4598415,-94.4154787,east,https://directory.tml.org/profile/city/925
Newcastle,677,46667,,,,,https://directory.tml.org/profile/city/927
New Chapel Hill,758,52639,New Chapel Hill,32.3051516,-95.1730025,east,https://directory.tml.org/profile/city/1999
New London,1188,48533,New London,32.2387667,-94.9404949,east,https://directory.tml.org/profile/city/929
Newton,2042,37115,Newton,30.8485724,-93.7600658,east,https://directory.tml.org/profile/city/931
New Waverly,1214,41550,New Waverly,30.5377007,-95.483276,east,https://directory.tml.org/profile/city/932
Nocona,2998,34300,,,,,https://directory.tml.org/profile/city/934
Noonday,488,54091,Noonday,32.2356362,-95.4066572,east,https://directory.tml.org/profile/city/2004
Nordheim,464,40417,Nordheim,28.9210896,-97.6097188,east,https://directory.tml.org/profile/city/937
Novice,114,19643,,,,,https://directory.tml.org/profile/city/2011
O'Brien,95,31250,,,,,https://directory.tml.org/profile/city/2014
Odem,1965,41620,Odem,27.9505741,-97.5822172,east,https://directory.tml.org/profile/city/942
Oglesby,563,53571,Oglesby,31.4185003,-97.5072379,east,https://directory.tml.org/profile/city/1634
Olney,3021,36875,,,,,https://directory.tml.org/profile/city/947
Omaha,1047,51184,Omaha,33.180677,-94.7440964,east,https://directory.tml.org/profile/city/949
Orchard,219,43250,Orchard,29.6041269,-95.9696778,east,https://directory.tml.org/profile/city/1759
Ore City,1085,39688,Ore City,32.8001354,-94.7207634,east,https://directory.tml.org/profile/city/736
Overton,3023,49167,Overton,32.2745983,-94.9785515,east,https://directory.tml.org/profile/city/737
Oyster Creek,1179,32339,Oyster Creek,29.0030239,-95.3318823,east,https://directory.tml.org/profile/city/739
Palacios,4446,50333,Palacios,28.7080461,-96.217467,east,https://directory.tml.org/profile/city/461
Pearsall,7888,43684,,,,,https://directory.tml.org/profile/city/753
Pelican Bay,1833,44375,,,,,https://directory.tml.org/profile/city/1769
Penitas,6206,46135,,,,,https://directory.tml.org/profile/city/1450
Petersburg,863,34167,,,,,https://directory.tml.org/profile/city/756
Petrolia,380,38125,,,,,https://directory.tml.org/profile/city/757
Petronila,78,-666666666,Petronila,27.671975,-97.6358282,east,https://directory.tml.org/profile/city/1451
Pinehurst,2333,44893,Pinehurst,30.1071543,-93.7746117,east,https://directory.tml.org/profile/city/762
Pineland,1120,28924,Pineland,31.2507519,-93.9734065,east,https://directory.tml.org/profile/city/763
Pittsburg,4351,37368,Pittsburg,32.9954021,-94.9657688,east,https://directory.tml.org/profile/city/764
Point,1101,44191,Point,32.9315089,-95.8713542,east,https://directory.tml.org/profile/city/903
Point Blank,976,53606,Point Blank,30.7477925,-95.218959,east,https://directory.tml.org/profile/city/1531
Port Isabel,5208,36649,Port Isabel,26.0734119,-97.2085844,east,https://directory.tml.org/profile/city/773
