municipality,primary_county,population_est_2022,median_income,latitude,longitude,coordinates,east_west,municipality_profile
Beckville,Panola,737,54244,32.2429366,-94.4554782,"[32.2429366, -94.4554782]",east,https://directory.tml.org/profile/city/30
Savoy,Fannin,735,56794,33.5992726,-96.3666506,"[33.5992726, -96.3666506]",east,https://directory.tml.org/profile/city/639
Pecan Hill,Ellis,734,87698,32.4865278,-96.7858299,"[32.4865278, -96.7858299]",east,https://directory.tml.org/profile/city/1737
Joaquin,Shelby,730,43244,31.9665156,-94.0562968,"[31.9665156, -94.0562968]",east,https://directory.tml.org/profile/city/992
Weir,Williamson,720,96653,30.6749425,-97.5861701,"[30.6749425, -97.5861701]",east,https://directory.tml.org/profile/city/1734
Lakewood Village,Denton,706,98027,33.1435505,-96.9721003,"[33.1435505, -96.9721003]",east,https://directory.tml.org/profile/city/1032
Cumby,Hopkins,699,56680,33.1373366,-95.8394083,"[33.1373366, -95.8394083]",east,https://directory.tml.org/profile/city/1223
New Berlin,Guadalupe,699,80145,29.4680587,-98.0973802,"[29.4680587, -98.0973802]",east,https://directory.tml.org/profile/city/924
Burke,Angelina,697,50620,31.2313075,-94.7688688,"[31.2313075, -94.7688688]",east,https://directory.tml.org/profile/city/51
Mountain City,Hays,687,79336,30.037159,-97.8869497,"[30.037159, -97.8869497]",east,https://directory.tml.org/profile/city/1988
Agua Dulce,Nueces,678,59337,27.781692,-97.9086105,"[27.781692, -97.9086105]",east,https://directory.tml.org/profile/city/1713
Niederwald,Hays,673,79336,30.009384,-97.7280573,"[30.009384, -97.7280573]",east,https://directory.tml.org/profile/city/1654
Point Blank,San Jacinto,673,52302,30.7477925,-95.218959,"[30.7477925, -95.218959]",east,https://directory.tml.org/profile/city/1531
Surfside Beach,Brazoria,668,82165,28.9516604,-95.2875474,"[28.9516604, -95.2875474]",east,https://directory.tml.org/profile/city/697
Driscoll,Nueces,665,59337,27.6744741,-97.7486072,"[27.6744741, -97.7486072]",east,https://directory.tml.org/profile/city/1252
Golinda,Falls,657,46173,31.3776722,-97.0827751,"[31.3776722, -97.0827751]",east,https://directory.tml.org/profile/city/121
Simonton,Fort Bend,656,98070,29.679402,-95.977178,"[29.679402, -95.977178]",east,https://directory.tml.org/profile/city/1805
Lott,Falls,651,46173,31.203512,-97.0366591,"[31.203512, -97.0366591]",east,https://directory.tml.org/profile/city/1174
Bardwell,Ellis,650,87698,32.2690354,-96.6961027,"[32.2690354, -96.6961027]",east,https://directory.tml.org/profile/city/26
Beasley,Fort Bend,644,98070,29.4974636,-95.9180099,"[29.4974636, -95.9180099]",east,https://directory.tml.org/profile/city/1319
Sunset Valley,Travis,643,84519,30.2285878,-97.8150412,"[30.2285878, -97.8150412]",east,https://directory.tml.org/profile/city/696
New Chapel Hill,Smith,639,62903,32.3051516,-95.1730025,"[32.3051516, -95.1730025]",east,https://directory.tml.org/profile/city/1999
Frost,Navarro,636,51015,32.0801526,-96.8066611,"[32.0801526, -96.8066611]",east,https://directory.tml.org/profile/city/1095
Noonday,Smith,623,62903,32.2356362,-95.4066572,"[32.2356362, -95.4066572]",east,https://directory.tml.org/profile/city/2004
Cove,Chambers,612,89767,29.8274438,-94.8024219,"[29.8274438, -94.8024219]",east,https://directory.tml.org/profile/city/1206
Pattison,Waller,612,65437,29.8252297,-95.9949564,"[29.8252297, -95.9949564]",east,https://directory.tml.org/profile/city/750
Zavalla,Angelina,606,50620,31.1570066,-94.4175741,"[31.1570066, -94.4175741]",east,https://directory.tml.org/profile/city/578
Ingleside on the Bay,San Patricio,597,58227,27.829352,-97.2241138,"[27.829352, -97.2241138]",east,https://directory.tml.org/profile/city/1358
Lovelady,Houston,579,45603,31.1268207,-95.44555,"[31.1268207, -95.44555]",east,https://directory.tml.org/profile/city/850
Campbell,Hunt,571,58326,33.149386,-95.9513214,"[33.149386, -95.9513214]",east,https://directory.tml.org/profile/city/58
Point Comfort,Calhoun,570,70662,28.6797169,-96.5602537,"[28.6797169, -96.5602537]",east,https://directory.tml.org/profile/city/769
Cushing,Nacogdoches,569,46970,31.8169215,-94.8396428,"[31.8169215, -94.8396428]",east,https://directory.tml.org/profile/city/83
Colmesneil,Tyler,552,46955,30.9093987,-94.4226266,"[30.9093987, -94.4226266]",east,https://directory.tml.org/profile/city/1196
Appleby,Nacogdoches,551,46970,31.7162936,-94.6050183,"[31.7162936, -94.6050183]",east,https://directory.tml.org/profile/city/16
Riverside,Walker,551,43012,30.8529664,-95.4035523,"[30.8529664, -95.4035523]",east,https://directory.tml.org/profile/city/811
Roxton,Lamar,549,50787,33.5462168,-95.7257949,"[33.5462168, -95.7257949]",east,https://directory.tml.org/profile/city/1794
Deport,Lamar,547,50787,33.5262198,-95.3157832,"[33.5262198, -95.3157832]",east,https://directory.tml.org/profile/city/93
San Perlita,Willacy,542,37087,26.5011785,-97.6397111,"[26.5011785, -97.6397111]",east,https://directory.tml.org/profile/city/1797
Snook,Burleson,527,57469,30.488816,-96.4644102,"[30.488816, -96.4644102]",east,https://directory.tml.org/profile/city/667
Murchison,Henderson,523,50348,32.2784819,-95.7496858,"[32.2784819, -95.7496858]",east,https://directory.tml.org/profile/city/913
Brazos Country,Austin,518,68150,29.7538441,-96.0505136,"[29.7538441, -96.0505136]",east,https://directory.tml.org/profile/city/281
Falls City,Karnes,513,48470,28.9827507,-98.0175047,"[28.9827507, -98.0175047]",east,https://directory.tml.org/profile/city/1070
Liverpool,Brazoria,510,82165,29.2949612,-95.2788231,"[29.2949612, -95.2788231]",east,https://directory.tml.org/profile/city/1057
Star Harbor,Henderson,509,50348,32.1920951,-96.0530251,"[32.1920951, -96.0530251]",east,https://directory.tml.org/profile/city/683
Mount Enterprise,Rusk,507,53186,31.9179473,-94.6810439,"[31.9179473, -94.6810439]",east,https://directory.tml.org/profile/city/1989
Easton,Gregg,505,57608,32.3873755,-94.5829828,"[32.3873755, -94.5829828]",east,https://directory.tml.org/profile/city/101
Briaroaks,Johnson,502,76226,32.5034724,-97.3050152,"[32.5034724, -97.3050152]",east,https://directory.tml.org/profile/city/43
Pine Forest,Orange,502,65908,30.1813215,-94.0343441,"[30.1813215, -94.0343441]",east,https://directory.tml.org/profile/city/761
Fruitvale,Van Zandt,500,59929,32.6831851,-95.8032979,"[32.6831851, -95.8032979]",east,https://directory.tml.org/profile/city/113
Grey Forest,Bexar,493,63014,29.6141358,-98.6848862,"[29.6141358, -98.6848862]",east,https://directory.tml.org/profile/city/430
Talco,Titus,488,49513,33.3626129,-95.1046638,"[33.3626129, -95.1046638]",east,https://directory.tml.org/profile/city/1821
Hallsburg,McLennan,483,58524,31.5387793,-96.9561053,"[31.5387793, -96.9561053]",east,https://directory.tml.org/profile/city/1141
Plantersville[b],Grimes,483,52540,30.3329856,-95.8618958,"[30.3329856, -95.8618958]",east,https://directory.tml.org/profile/city/84531
Smiley,Gonzales,483,48164,29.2677433,-97.6358283,"[29.2677433, -97.6358283]",east,https://directory.tml.org/profile/city/1807
Nome,Jefferson,471,55575,30.03577,-94.4243572,"[30.03577, -94.4243572]",east,https://directory.tml.org/profile/city/936
Hawk Cove,Hunt,470,58326,32.8851053,-96.082225,"[32.8851053, -96.082225]",east,https://directory.tml.org/profile/city/452
Morgan,Bosque,462,56041,32.0187622,-97.6083551,"[32.0187622, -97.6083551]",east,https://directory.tml.org/profile/city/902
Union Grove,Upshur,461,51634,32.5793067,-94.9183563,"[32.5793067, -94.9183563]",east,https://directory.tml.org/profile/city/1852
Angus,Navarro,458,51015,32.0051302,-96.437309,"[32.0051302, -96.437309]",east,https://directory.tml.org/profile/city/12
Leary,Bowie,446,52934,33.460123,-94.2076945,"[33.460123, -94.2076945]",east,https://directory.tml.org/profile/city/1042
Union Valley,Hunt,441,58326,32.9272661,-96.2510323,"[32.9272661, -96.2510323]",east,https://directory.tml.org/profile/city/35940
Oglesby,Coryell,440,59718,31.4185003,-97.5072379,"[31.4185003, -97.5072379]",east,https://directory.tml.org/profile/city/1634
Creedmoor,Travis,434,84519,30.0899368,-97.7338917,"[30.0899368, -97.7338917]",east,https://directory.tml.org/profile/city/81
Winfield,Titus,418,49513,33.16734,-95.1118843,"[33.16734, -95.1118843]",east,https://directory.tml.org/profile/city/1873
Milano,Milam,417,53320,30.7104729,-96.863314,"[30.7104729, -96.863314]",east,https://directory.tml.org/profile/city/1977
San Patricio,San Patricio,413,58227,27.9544619,-97.7719419,"[27.9544619, -97.7719419]",east,https://directory.tml.org/profile/city/1798
Devers,Liberty,412,57174,30.0274371,-94.5915841,"[30.0274371, -94.5915841]",east,https://directory.tml.org/profile/city/94
Bedias,Grimes,380,52540,30.7757486,-95.949397,"[30.7757486, -95.949397]",east,https://directory.tml.org/profile/city/240
Chireno,Nacogdoches,373,46970,31.5076007,-94.3543659,"[31.5076007, -94.3543659]",east,https://directory.tml.org/profile/city/1411
Weston,Collin,370,102119,33.3490017,-96.6694368,"[33.3490017, -96.6694368]",east,https://directory.tml.org/profile/city/1867
Huxley,Shelby,362,43244,31.7612138,-93.8689522,"[31.7612138, -93.8689522]",east,https://directory.tml.org/profile/city/973
Leroy,McLennan,361,58524,31.7315517,-97.0177765,"[31.7315517, -97.0177765]",east,https://directory.tml.org/profile/city/1045
Abbott,Hill,359,52495,31.8827464,-97.0739585,"[31.8827464, -97.0739585]",east,https://directory.tml.org/profile/city/1
Edom,Van Zandt,356,59929,32.3723675,-95.6088495,"[32.3723675, -95.6088495]",east,https://directory.tml.org/profile/city/1637
Kendleton,Fort Bend,348,98070,29.4507991,-95.9946785,"[29.4507991, -95.9946785]",east,https://directory.tml.org/profile/city/1887
Sadler,Grayson,343,62678,33.6826063,-96.8483346,"[33.6826063, -96.8483346]",east,https://directory.tml.org/profile/city/1796
Reklaw,Cherokee,339,48664,31.8626716,-94.9877175,"[31.8626716, -94.9877175]",east,https://directory.tml.org/profile/city/800
Gary,Panola,338,54244,32.031272,-94.3726252,"[32.031272, -94.3726252]",east,https://directory.tml.org/profile/city/1104
Rose City,Orange,336,65908,30.1032495,-94.0520894,"[30.1032495, -94.0520894]",east,https://directory.tml.org/profile/city/1791
Gallatin,Cherokee,334,48664,31.8910032,-95.1454998,"[31.8910032, -95.1454998]",east,https://directory.tml.org/profile/city/116
Nordheim,DeWitt,334,54279,28.9210896,-97.6097188,"[28.9210896, -97.6097188]",east,https://directory.tml.org/profile/city/937
Scottsville,Harrison,334,56645,32.5404281,-94.2382471,"[32.5404281, -94.2382471]",east,https://directory.tml.org/profile/city/1888
Eureka,Navarro,333,51015,32.0126567,-96.29581,"[32.0126567, -96.29581]",east,https://directory.tml.org/profile/city/1650
Rose Hill Acres,Hardin,331,67183,30.1982667,-94.1949057,"[30.1982667, -94.1949057]",east,https://directory.tml.org/profile/city/1792
Iola,Grimes,330,52540,30.7725123,-96.0739795,"[30.7725123, -96.0739795]",east,https://directory.tml.org/profile/city/39221
Callisburg,Cooke,326,58060,33.6978844,-97.0088971,"[33.6978844, -97.0088971]",east,https://directory.tml.org/profile/city/621
Warren City,Gregg,322,57608,32.5548663,-94.8960488,"[32.5548663, -94.8960488]",east,https://directory.tml.org/profile/city/536
Orchard,Fort Bend,317,98070,29.6041269,-95.9696778,"[29.6041269, -95.9696778]",east,https://directory.tml.org/profile/city/1759
Mount Calm,Hill,301,52495,31.7562739,-96.8791613,"[31.7562739, -96.8791613]",east,https://directory.tml.org/profile/city/907
Coupland[b],Williamson,292,96653,30.4595568,-97.3899732,"[30.4595568, -97.3899732]",east,https://directory.tml.org/profile/city/62580
Ellinger[a],Fayette,290,64711,29.838582,-96.7046493,"[29.838582, -96.7046493]",east,https://directory.tml.org/profile/city/100361
Covington,Hill,289,52495,32.1784832,-97.2580677,"[32.1784832, -97.2580677]",east,https://directory.tml.org/profile/city/1212
Granjeno,Hidalgo,288,44260,26.1347979,-98.3047363,"[26.1347979, -98.3047363]",east,https://directory.tml.org/profile/city/1486
Coyote Flats[b],Johnson,285,76226,32.3641082,-97.2974123,"[32.3641082, -97.2974123]",east,https://directory.tml.org/profile/city/49605
Cranfills Gap,Bosque,282,56041,31.7737659,-97.8258601,"[31.7737659, -97.8258601]",east,https://directory.tml.org/profile/city/1215
Taylor Landing,Jefferson,281,55575,29.86222,-94.131081,"[29.86222, -94.131081]",east,https://directory.tml.org/profile/city/32856
Burton,Washington,280,66601,30.1821602,-96.5955277,"[30.1821602, -96.5955277]",east,https://directory.tml.org/profile/city/1373
Industry,Austin,277,68150,29.9724459,-96.5021927,"[29.9724459, -96.5021927]",east,https://directory.tml.org/profile/city/1478
Kennard,Houston,277,45603,31.3595701,-95.1846665,"[31.3595701, -95.1846665]",east,https://directory.tml.org/profile/city/1921
Goodrich,Polk,269,50827,30.6060537,-94.9472634,"[30.6060537, -94.9472634]",east,https://directory.tml.org/profile/city/1117
Morgan's Point,Harris,268,63539,29.6793945,-94.9899276,"[29.6793945, -94.9899276]",east,https://directory.tml.org/profile/city/903
Progreso Lakes,Hidalgo,262,44260,26.0717442,-97.958891,"[26.0717442, -97.958891]",east,https://directory.tml.org/profile/city/1777
North Cleveland,Liberty,255,57174,30.3589116,-95.0962013,"[30.3589116, -95.0962013]",east,https://directory.tml.org/profile/city/2008
Hays,Hays,249,79336,30.1227118,-97.8722281,"[30.1227118, -97.8722281]",east,https://directory.tml.org/profile/city/1151
Fayetteville,Fayette,244,64711,29.9057817,-96.6727528,"[29.9057817, -96.6727528]",east,https://directory.tml.org/profile/city/1075
Carmine,Fayette,243,64711,30.1493838,-96.6860862,"[30.1493838, -96.6860862]",east,https://directory.tml.org/profile/city/1383
Latexo,Houston,240,45603,31.394675,-95.4760213,"[31.394675, -95.4760213]",east,https://directory.tml.org/profile/city/1941
Spring Branch[b],Comal,233,93487,29.8405513,-98.4104996,"[29.8405513, -98.4104996]",east,https://directory.tml.org/profile/city/76018
Bailey,Fannin,231,56794,33.4320531,-96.1658091,"[33.4320531, -96.1658091]",east,https://directory.tml.org/profile/city/24
Barry,Navarro,230,51015,32.0993189,-96.6361002,"[32.0993189, -96.6361002]",east,https://directory.tml.org/profile/city/27
Wixon Valley,Brazos,229,50494,30.7621387,-96.3188508,"[30.7621387, -96.3188508]",east,https://directory.tml.org/profile/city/1657
Cottonwood,Kaufman,226,73660,32.4679173,-96.3891501,"[32.4679173, -96.3891501]",east,https://directory.tml.org/profile/city/1487
Sandy Point[b],Brazoria,217,82165,29.385517,-95.4810532,"[29.385517, -95.4810532]",east,https://directory.tml.org/profile/city/188
South Frydek[b],Austin,216,68150,29.7532888,-96.0882925,"[29.7532888, -96.0882925]",east,https://directory.tml.org/profile/city/94128
Anderson,Grimes,200,52540,30.4876971,-95.9924515,"[30.4876971, -95.9924515]",east,https://directory.tml.org/profile/city/1477
Ross,McLennan,200,58524,31.7184962,-97.1191695,"[31.7184962, -97.1191695]",east,https://directory.tml.org/profile/city/1218
La Ward,Jackson,192,60666,28.8438769,-96.4641388,"[28.8438769, -96.4641388]",east,https://directory.tml.org/profile/city/1931
Marquez,Leon,189,51582,31.2393469,-96.2535765,"[31.2393469, -96.2535765]",east,https://directory.tml.org/profile/city/869
Staples,Guadalupe,189,80145,29.7814011,-97.8362177,"[29.7814011, -97.8362177]",east,https://directory.tml.org/profile/city/42006
Midway,Madison,185,48251,31.0260203,-95.7505033,"[31.0260203, -95.7505033]",east,https://directory.tml.org/profile/city/594
Ravenna,Fannin,184,56794,33.6728814,-96.2416484,"[33.6728814, -96.2416484]",east,https://directory.tml.org/profile/city/1549
Pecan Gap,Delta,181,50329,33.4370521,-95.8466311,"[33.4370521, -95.8466311]",east,https://directory.tml.org/profile/city/1731
Goodlow,Navarro,176,51015,32.1088791,-96.2150328,"[32.1088791, -96.2150328]",east,https://directory.tml.org/profile/city/122
Leona,Leon,161,51582,31.1546279,-95.9691234,"[31.1546279, -95.9691234]",east,https://directory.tml.org/profile/city/1949
Moore Station,Henderson,161,50348,32.181821,-95.5669032,"[32.181821, -95.5669032]",east,https://directory.tml.org/profile/city/1987
Mobile City,Rockwall,154,120696,32.9226225,-96.4110959,"[32.9226225, -96.4110959]",east,https://directory.tml.org/profile/city/1652
Browndell,Jasper,153,50038,31.1260943,-93.9801176,"[31.1260943, -93.9801176]",east,https://directory.tml.org/profile/city/46
Kingsbury[b],Guadalupe,134,80145,29.6493102,-97.8296132,"[29.6493102, -97.8296132]",east,https://directory.tml.org/profile/city/75903
Todd Mission,Grimes,126,52540,30.2615994,-95.8302284,"[30.2615994, -95.8302284]",east,https://directory.tml.org/profile/city/1841
Austwell,Refugio,115,46695,28.3902814,-96.842208,"[28.3902814, -96.842208]",east,https://directory.tml.org/profile/city/1302
Aquilla,Hill,108,52495,31.8515484,-97.2180635,"[31.8515484, -97.2180635]",east,https://directory.tml.org/profile/city/1290
Toco,Lamar,92,50787,33.6548268,-95.6460712,"[33.6548268, -95.6460712]",east,https://directory.tml.org/profile/city/1840
Petronila,Nueces,84,59337,27.671975,-97.6358282,"[27.671975, -97.6358282]",east,https://directory.tml.org/profile/city/1451
Uncertain,Harrison,83,56645,32.7120883,-94.1212965,"[32.7120883, -94.1212965]",east,https://directory.tml.org/profile/city/1851
Sun Valley,Lamar,73,50787,33.6645513,-95.4282875,"[33.6645513, -95.4282875]",east,https://directory.tml.org/profile/city/1820
Seven Oaks,Polk,72,50827,30.8532056,-94.8552386,"[30.8532056, -94.8552386]",east,https://directory.tml.org/profile/city/1802
Dorchester,Grayson,62,62678,33.5303861,-96.6894367,"[33.5303861, -96.6894367]",east,https://directory.tml.org/profile/city/97
Dayton Lakes,Liberty,52,57174,30.1446577,-94.8221464,"[30.1446577, -94.8221464]",east,https://directory.tml.org/profile/city/1232
